NO_OF_FRAMES	2087
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:00:14.239	4128051.90243010
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
1	0.00000	388.923	-128.399	840.339	385.155	-227.493	807.630	221.015	-215.190	804.408	234.451	-113.348	842.433	0.000	0.000	0.000	310.539	-150.621	605.289	519.934	-210.782	603.757	109.616	-208.405	593.501	569.535	-226.733	543.885	55.753	-227.979	524.682	363.049	-328.754	167.383	269.555	-326.507	174.555	0.000	0.000	0.000	0.000	0.000	0.000	597.244	-231.018	258.921	542.498	-287.677	252.539	40.367	-225.822	237.668	82.386	-280.156	233.101	565.761	-183.343	8.348	539.256	-117.702	18.554	75.355	-174.140	-19.924	105.564	-106.863	-10.505	0.000	0.000	0.000	532.605	-111.320	-78.842	516.103	-104.250	-165.056	544.865	-166.863	-79.589	517.190	-181.501	-146.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.018	-164.564	-93.416	113.742	-184.584	-162.222
2	0.01000	388.902	-128.348	840.347	385.201	-227.477	807.630	221.003	-215.193	804.421	234.462	-113.336	842.448	0.000	0.000	0.000	310.606	-150.535	605.293	519.900	-210.730	603.753	109.611	-208.371	593.506	569.534	-226.690	543.884	55.776	-227.964	524.663	363.076	-328.721	167.366	269.553	-326.489	174.553	0.000	0.000	0.000	0.000	0.000	0.000	597.196	-230.950	258.892	542.500	-287.680	252.564	40.335	-225.857	237.721	82.390	-280.113	233.096	565.743	-183.344	8.354	539.198	-117.685	18.519	75.431	-174.100	-19.999	105.610	-106.899	-10.526	0.000	0.000	0.000	532.580	-111.282	-78.893	516.031	-104.175	-165.067	544.878	-166.894	-79.576	517.125	-181.449	-146.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.040	-164.553	-93.435	113.759	-184.588	-162.218
3	0.02000	388.888	-128.328	840.316	385.194	-227.432	807.592	221.008	-215.165	804.442	234.479	-113.304	842.463	0.000	0.000	0.000	310.526	-150.441	605.334	519.894	-210.664	603.729	109.593	-208.339	593.481	569.522	-226.650	543.861	55.748	-227.954	524.658	363.089	-328.679	167.350	269.546	-326.466	174.576	0.000	0.000	0.000	0.000	0.000	0.000	597.227	-230.962	258.899	542.515	-287.659	252.522	40.354	-225.809	237.672	82.393	-280.126	233.100	565.738	-183.318	8.274	539.156	-117.686	18.466	75.434	-174.100	-20.020	105.606	-106.913	-10.505	0.000	0.000	0.000	532.595	-111.341	-78.838	515.999	-104.179	-165.159	544.845	-166.873	-79.633	517.176	-181.505	-146.376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.065	-164.569	-93.440	113.759	-184.606	-162.183
4	0.03000	387.533	-127.267	839.938	385.207	-227.387	807.587	221.035	-215.126	804.441	234.494	-113.271	842.484	0.000	0.000	0.000	310.479	-150.332	605.284	519.895	-210.624	603.725	109.602	-208.292	593.474	569.531	-226.579	543.855	55.745	-227.906	524.652	362.875	-328.763	166.985	270.364	-325.853	174.019	0.000	0.000	0.000	0.000	0.000	0.000	597.207	-230.965	258.878	542.266	-288.160	253.211	40.361	-225.810	237.687	82.413	-280.125	233.076	565.725	-183.355	8.299	539.270	-117.694	18.514	75.443	-174.116	-20.018	105.613	-106.876	-10.557	0.000	0.000	0.000	532.551	-111.324	-78.907	515.960	-104.159	-165.206	544.786	-166.809	-79.723	517.106	-181.458	-146.411	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.051	-164.569	-93.429	113.769	-184.604	-162.210
5	0.04000	387.638	-127.294	839.923	385.196	-227.344	807.547	221.021	-215.093	804.447	234.508	-113.251	842.523	0.000	0.000	0.000	310.534	-150.329	605.277	519.905	-210.554	603.710	109.585	-208.265	593.484	569.501	-226.539	543.855	55.726	-227.896	524.667	362.905	-328.750	166.980	270.340	-325.829	174.030	0.000	0.000	0.000	0.000	0.000	0.000	597.240	-230.936	258.884	542.269	-288.129	253.236	40.359	-225.845	237.732	82.422	-280.096	233.090	565.728	-183.369	8.280	539.219	-117.731	18.444	75.469	-174.116	-20.000	105.656	-106.878	-10.557	0.000	0.000	0.000	532.569	-111.348	-78.891	515.891	-104.094	-165.477	544.821	-166.881	-79.686	517.097	-181.459	-146.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.087	-164.559	-93.460	113.769	-184.604	-162.209
6	0.05000	387.564	-127.206	839.915	385.014	-226.975	807.413	220.958	-215.130	804.624	234.219	-113.395	842.595	0.000	0.000	0.000	310.480	-150.243	605.284	519.791	-210.768	603.611	109.431	-208.383	593.664	569.514	-226.325	543.683	55.589	-227.942	524.707	362.938	-328.691	166.975	270.358	-325.820	174.024	0.000	0.000	0.000	0.000	0.000	0.000	597.440	-231.041	258.915	542.267	-288.105	253.266	40.227	-225.905	237.745	82.441	-280.031	233.057	565.706	-183.281	8.149	539.160	-117.656	18.510	75.430	-174.092	-20.020	105.756	-107.055	-10.572	0.000	0.000	0.000	532.545	-111.368	-78.957	515.906	-104.231	-165.242	544.787	-166.882	-79.721	517.315	-181.604	-146.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.068	-164.590	-93.440	113.768	-184.615	-162.185
7	0.06000	387.633	-127.203	839.950	385.219	-227.215	807.549	221.000	-215.027	804.507	234.415	-113.177	842.575	0.000	0.000	0.000	310.486	-150.188	605.295	519.848	-210.439	603.738	109.556	-208.156	593.499	569.523	-226.366	543.847	55.703	-227.808	524.669	362.952	-328.636	166.998	270.378	-325.803	174.028	0.000	0.000	0.000	0.000	0.000	0.000	597.190	-230.825	258.839	542.255	-288.069	253.283	40.335	-225.805	237.715	82.447	-280.008	233.055	565.698	-183.361	8.288	539.186	-117.780	18.459	75.469	-174.117	-19.991	105.585	-106.879	-10.490	0.000	0.000	0.000	532.575	-111.402	-78.958	515.870	-104.185	-165.515	544.751	-166.861	-79.789	517.095	-181.426	-146.468	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.061	-164.579	-93.389	113.759	-184.588	-162.221
8	0.07000	387.617	-127.160	839.958	385.236	-227.164	807.552	220.988	-214.973	804.491	234.473	-113.108	842.570	0.000	0.000	0.000	310.474	-150.140	605.331	519.828	-210.355	603.719	109.539	-208.107	593.513	569.532	-226.320	543.868	55.682	-227.781	524.668	362.975	-328.574	166.982	270.374	-325.743	174.003	0.000	0.000	0.000	0.000	0.000	0.000	597.177	-230.785	258.856	542.266	-288.034	253.291	40.346	-225.789	237.716	82.452	-279.962	233.071	565.704	-183.368	8.293	539.206	-117.766	18.471	75.432	-174.165	-19.926	105.554	-106.882	-10.459	0.000	0.000	0.000	532.555	-111.425	-78.950	516.005	-104.397	-165.169	544.772	-166.891	-79.755	517.121	-181.433	-146.445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.079	-164.548	-93.457	113.724	-184.602	-162.175
9	0.08000	387.632	-127.069	839.949	385.257	-227.118	807.568	221.038	-214.897	804.469	234.452	-113.088	842.578	0.000	0.000	0.000	310.410	-150.020	605.356	519.820	-210.285	603.710	109.548	-208.059	593.505	569.534	-226.251	543.884	55.670	-227.735	524.676	362.972	-328.537	166.989	270.368	-325.732	174.065	0.000	0.000	0.000	0.000	0.000	0.000	597.225	-230.769	258.899	542.274	-288.005	253.304	40.362	-225.734	237.670	82.434	-279.964	233.060	565.704	-183.339	8.283	539.205	-117.794	18.436	75.488	-174.104	-19.973	105.588	-106.846	-10.492	0.000	0.000	0.000	532.609	-111.483	-78.875	515.920	-104.430	-165.229	544.863	-166.975	-79.727	517.110	-181.395	-146.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.075	-164.587	-93.395	113.722	-184.580	-162.225
10	0.09000	387.634	-127.031	839.995	385.231	-227.062	807.567	221.041	-214.840	804.476	234.460	-113.014	842.557	0.000	0.000	0.000	310.481	-150.023	605.336	519.815	-210.221	603.720	109.540	-207.990	593.501	569.547	-226.177	543.892	55.682	-227.657	524.647	362.989	-328.498	167.018	270.374	-325.678	174.037	0.000	0.000	0.000	0.000	0.000	0.000	597.223	-230.746	258.887	542.268	-287.986	253.339	40.290	-225.762	237.717	82.434	-279.921	233.062	565.722	-183.343	8.287	539.137	-117.755	18.398	75.476	-174.091	-20.001	105.579	-106.817	-10.519	0.000	0.000	0.000	532.561	-111.485	-78.916	515.812	-104.364	-165.361	544.899	-166.998	-79.674	517.082	-181.358	-146.516	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.066	-164.552	-93.432	113.732	-184.528	-162.271
