NO_OF_FRAMES	1238
NO_OF_CAMERAS	6
NO_OF_MARKERS	30
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:09:51.002	4128628.66564140
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
1	0.00000	384.933	-145.776	832.261	380.452	-246.877	807.153	216.538	-235.747	807.415	230.343	-131.235	837.481	297.348	-293.184	653.517	302.706	-169.642	603.939	510.923	-238.072	595.671	98.860	-233.464	584.674	561.063	-243.090	534.490	46.076	-238.833	512.211	353.436	-324.737	167.277	259.380	-321.697	174.914	618.383	-192.662	280.545	555.686	-229.545	237.412	3.193	-183.394	251.240	56.649	-222.593	214.719	536.012	39.097	274.088	471.066	31.594	300.707	100.581	51.989	261.251	166.488	38.807	288.349	404.535	129.538	266.910	461.897	128.254	287.505	445.242	214.190	264.192	516.367	122.377	274.158	525.141	190.281	265.960	245.165	118.941	277.299	179.353	132.795	277.981	192.224	217.689	250.292	120.096	124.263	261.525	111.895	193.806	239.575
2	0.01000	384.984	-145.823	832.327	380.442	-246.920	807.145	216.517	-235.774	807.405	230.298	-131.293	837.524	297.348	-293.162	653.501	302.647	-169.599	603.997	510.895	-238.053	595.673	98.855	-233.448	584.636	561.052	-243.072	534.485	46.045	-238.876	512.203	353.418	-324.726	167.294	259.357	-321.681	174.916	618.405	-192.681	280.553	555.630	-229.532	237.408	3.149	-183.462	251.293	56.662	-222.597	214.739	536.017	39.091	274.071	471.044	31.595	300.724	100.584	51.976	261.233	166.487	38.794	288.340	404.376	129.492	266.992	461.863	128.253	287.500	445.181	214.182	264.212	516.278	122.541	273.946	525.165	190.287	265.867	245.128	118.957	277.310	179.348	132.784	277.981	192.206	217.608	250.347	119.958	124.118	261.770	111.853	193.801	239.622
3	0.02000	384.945	-145.847	832.322	380.423	-246.943	807.121	216.505	-235.780	807.394	230.292	-131.314	837.520	297.317	-293.175	653.508	302.654	-169.631	603.939	510.900	-238.047	595.662	98.856	-233.475	584.651	561.029	-243.052	534.460	46.068	-238.873	512.182	353.404	-324.713	167.279	259.361	-321.677	174.891	618.343	-192.699	280.508	555.566	-229.555	237.383	3.171	-183.434	251.249	56.656	-222.632	214.740	535.984	39.066	274.032	471.043	31.578	300.705	100.550	51.959	261.266	166.476	38.795	288.361	404.316	129.428	267.002	461.850	128.266	287.488	445.104	214.166	264.235	516.187	122.520	273.832	525.110	190.270	265.782	245.132	118.914	277.332	179.335	132.796	278.004	192.189	217.594	250.290	119.933	124.095	261.789	111.844	193.769	239.694
4	0.03000	384.940	-145.908	832.333	380.418	-246.974	807.133	216.470	-235.789	807.377	230.293	-131.315	837.540	297.291	-293.246	653.554	302.645	-169.625	603.991	510.874	-238.038	595.641	98.847	-233.501	584.651	561.011	-243.051	534.439	45.456	-238.833	512.389	353.382	-324.715	167.269	259.347	-321.676	174.860	617.355	-191.970	279.898	555.502	-229.579	237.357	3.562	-183.117	250.837	56.683	-222.643	214.690	535.963	39.068	273.943	471.088	31.560	300.743	100.545	51.941	261.248	166.354	38.614	288.362	404.158	129.366	267.159	461.818	128.255	287.448	445.080	214.163	264.200	516.144	122.491	273.681	525.074	190.248	265.668	245.132	118.911	277.333	179.305	132.783	277.948	192.192	217.596	250.186	119.892	124.065	261.808	111.813	193.804	239.671
5	0.04000	384.935	-145.938	832.349	380.383	-247.004	807.127	216.493	-235.923	807.438	230.341	-131.529	837.561	297.344	-293.315	653.711	302.631	-169.672	603.927	510.891	-238.014	595.661	98.857	-233.635	584.660	561.003	-243.040	534.438	45.407	-238.884	512.447	353.389	-324.719	167.264	259.402	-321.738	174.992	617.280	-192.011	279.848	555.452	-229.612	237.341	3.656	-183.060	250.878	56.670	-222.688	214.714	535.928	39.048	273.881	471.056	31.518	300.731	100.459	51.990	261.247	166.373	38.587	288.234	404.087	129.361	267.216	461.833	128.237	287.474	445.071	214.177	264.233	516.096	122.583	273.703	525.049	190.243	265.608	245.171	118.882	277.403	179.286	132.769	278.064	192.205	217.456	250.492	119.872	124.109	261.787	111.768	193.763	239.656
6	0.05000	385.172	-146.141	832.262	380.285	-246.836	807.012	216.403	-235.807	807.395	230.196	-131.330	837.562	297.222	-293.225	653.503	302.563	-169.541	603.892	510.977	-238.158	595.627	98.773	-233.544	584.662	561.080	-243.088	534.350	45.385	-238.927	512.437	353.353	-324.731	167.248	259.311	-321.688	174.818	617.266	-192.005	279.844	555.400	-229.645	237.276	3.551	-183.177	250.766	56.667	-222.733	214.690	536.075	38.914	273.790	470.973	31.630	300.450	100.572	51.884	261.220	166.432	38.541	288.262	404.008	129.261	267.163	461.733	128.163	287.361	444.961	214.087	264.119	516.059	122.422	273.585	524.982	190.246	265.426	245.142	118.870	277.396	179.310	132.700	278.010	192.194	217.436	250.604	119.899	124.010	261.805	111.782	193.714	239.696
7	0.06000	384.781	-145.913	832.342	380.335	-247.060	807.156	216.366	-235.807	807.384	230.145	-131.327	837.581	297.204	-293.205	653.476	302.639	-169.696	604.009	510.782	-237.971	595.604	98.743	-233.552	584.649	560.963	-243.012	534.420	45.414	-238.918	512.411	353.341	-324.706	167.237	259.302	-321.649	174.785	617.245	-192.091	279.841	555.392	-229.678	237.260	3.524	-183.207	250.754	56.675	-222.727	214.655	535.762	39.033	273.842	470.951	31.406	300.653	100.582	51.873	261.126	166.366	38.575	288.276	403.981	129.205	267.070	461.650	128.137	287.294	444.850	214.061	263.991	516.005	122.380	273.539	524.965	190.127	265.454	245.094	118.837	277.412	179.294	132.669	278.051	192.158	217.547	250.392	119.904	123.994	261.752	111.815	193.699	239.650
8	0.07000	384.714	-145.893	832.337	380.318	-247.046	807.134	216.337	-235.806	807.385	230.119	-131.299	837.590	297.157	-293.223	653.464	302.622	-169.726	603.995	510.755	-237.959	595.598	98.729	-233.568	584.609	560.917	-243.004	534.418	45.386	-238.954	512.397	353.325	-324.712	167.242	259.275	-321.664	174.792	617.236	-192.086	279.812	555.378	-229.721	237.196	3.538	-183.215	250.686	56.684	-222.770	214.664	535.680	39.055	273.753	470.870	31.365	300.589	100.553	51.800	261.162	166.326	38.546	288.291	403.923	129.145	266.991	461.597	128.067	287.184	444.805	213.984	263.916	515.956	122.343	273.510	524.802	190.100	265.437	245.073	118.847	277.411	179.259	132.657	277.983	192.172	217.538	250.395	119.890	123.954	261.738	111.829	193.666	239.632
9	0.08000	384.696	-145.904	832.328	380.292	-247.049	807.164	216.303	-235.808	807.377	230.055	-131.316	837.568	297.118	-293.214	653.432	302.517	-169.686	604.037	510.726	-237.947	595.599	98.707	-233.558	584.617	560.906	-243.009	534.413	45.421	-238.945	512.348	353.316	-324.708	167.231	259.254	-321.655	174.804	617.157	-192.038	279.757	555.344	-229.782	237.221	3.499	-183.292	250.704	56.679	-222.799	214.662	535.640	39.045	273.680	470.827	31.316	300.521	100.544	51.773	261.144	166.339	38.512	288.246	403.864	129.056	266.874	461.434	128.069	287.031	444.706	213.951	263.794	515.881	122.300	273.481	524.751	190.062	265.353	245.067	118.788	277.374	179.266	132.614	277.951	192.165	217.392	250.472	119.884	123.900	261.762	111.800	193.548	239.824
10	0.09000	384.643	-145.866	832.306	380.287	-247.035	807.165	216.246	-235.828	807.386	230.003	-131.324	837.560	297.105	-293.198	653.433	302.485	-169.688	604.035	510.704	-237.946	595.578	98.671	-233.557	584.600	560.869	-243.002	534.409	45.346	-238.967	512.374	353.323	-324.695	167.250	259.254	-321.632	174.789	617.203	-192.097	279.834	555.334	-229.813	237.213	3.524	-183.277	250.621	56.660	-222.817	214.647	535.599	38.985	273.666	470.732	31.273	300.487	100.566	51.761	261.075	166.325	38.495	288.193	403.785	128.978	266.802	461.385	128.042	286.959	444.576	213.916	263.658	515.786	122.284	273.420	524.650	190.017	265.279	245.041	118.782	277.324	179.266	132.571	277.922	192.175	217.442	250.285	119.894	123.901	261.694	111.861	193.628	239.557
