NO_OF_FRAMES	2130
NO_OF_CAMERAS	6
NO_OF_MARKERS	31
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:10:36.270	4128673.93321610
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
1	0.00000	384.937	-149.629	828.645	373.953	-250.753	807.888	211.615	-230.319	805.795	231.672	-125.957	831.846	294.657	-300.317	653.796	301.495	-178.436	601.422	511.015	-241.495	596.635	95.754	-245.797	580.441	557.061	-236.668	529.273	47.213	-250.890	503.163	356.215	-331.347	167.037	261.729	-329.792	174.308	449.491	-132.754	144.712	593.604	-196.306	271.319	0.000	0.000	0.000	31.608	-201.766	236.524	0.000	0.000	0.000	515.686	41.151	275.007	488.694	37.582	341.902	113.475	44.378	249.733	135.982	39.646	318.816	441.139	139.374	379.357	480.942	133.696	335.877	468.132	221.661	331.741	496.406	126.115	280.470	476.068	191.441	249.392	159.172	132.683	370.432	134.299	133.550	312.121	147.394	220.864	298.811	120.208	115.260	254.269	127.279	182.936	220.829
2	0.01000	384.997	-149.644	828.638	373.973	-250.761	807.845	211.645	-230.335	805.803	231.729	-125.948	831.862	294.669	-300.305	653.780	301.449	-178.406	601.405	511.023	-241.471	596.625	95.760	-245.786	580.415	557.036	-236.641	529.295	47.242	-250.867	503.145	356.218	-331.333	167.039	261.717	-329.760	174.305	449.450	-132.697	144.729	593.678	-196.332	271.340	0.000	0.000	0.000	31.572	-201.769	236.551	0.000	0.000	0.000	515.812	41.208	275.015	488.567	37.584	341.868	113.405	44.369	249.767	136.123	39.621	318.812	440.769	139.426	379.112	480.908	133.737	335.915	468.132	221.719	331.722	496.640	126.269	280.583	476.577	191.604	249.451	159.527	132.718	370.336	134.429	133.612	312.123	147.445	220.840	298.749	120.163	115.221	254.333	127.064	182.842	220.841
3	0.02000	385.031	-149.666	828.628	374.015	-250.762	807.814	211.670	-230.354	805.813	231.743	-125.978	831.873	294.693	-300.287	653.757	301.480	-178.365	601.386	511.019	-241.443	596.619	95.759	-245.799	580.417	557.075	-236.643	529.305	47.254	-250.835	503.130	356.230	-331.299	167.070	261.707	-329.732	174.302	449.473	-132.682	144.748	593.617	-196.275	271.325	0.000	0.000	0.000	31.541	-201.727	236.537	0.000	0.000	0.000	516.074	41.297	275.082	488.348	37.593	341.789	113.267	44.362	249.959	136.368	39.581	318.770	440.383	139.468	378.723	480.844	133.775	335.954	468.043	221.746	331.739	497.045	126.317	280.881	477.195	191.839	249.580	160.224	132.764	370.188	134.577	133.575	312.172	147.580	220.857	298.675	120.124	115.187	254.414	126.397	182.599	220.990
4	0.03000	385.093	-149.689	828.597	374.042	-250.798	807.765	211.716	-230.360	805.841	231.787	-125.981	831.873	294.639	-300.336	653.815	301.431	-178.310	601.444	510.894	-241.587	596.519	95.757	-245.783	580.411	557.054	-236.577	529.262	47.331	-251.219	503.316	356.200	-331.258	167.065	261.704	-329.727	174.330	449.491	-132.625	144.760	593.589	-196.496	271.812	0.000	0.000	0.000	31.483	-201.684	236.535	0.000	0.000	0.000	516.373	41.364	275.387	487.996	37.535	341.695	113.082	44.374	250.134	136.878	39.473	318.689	439.536	139.511	378.125	480.732	133.789	336.077	467.897	221.785	331.817	497.453	126.389	281.141	478.221	191.901	249.974	161.379	132.650	370.125	134.963	133.559	312.101	147.695	220.831	298.681	119.892	115.162	254.797	125.700	182.790	220.956
5	0.04000	385.108	-149.676	828.572	374.074	-250.800	807.748	211.743	-230.377	805.867	231.813	-126.011	831.887	294.657	-300.311	653.803	301.406	-178.307	601.411	510.911	-241.568	596.489	95.744	-245.804	580.431	557.096	-236.584	529.261	47.327	-251.267	503.361	356.228	-331.232	167.028	261.705	-329.679	174.303	449.641	-132.533	144.894	593.621	-196.409	271.867	0.000	0.000	0.000	31.394	-201.664	236.644	0.000	0.000	0.000	516.742	41.456	275.883	487.380	37.421	341.593	112.822	44.367	250.544	137.624	39.281	318.743	438.393	139.577	377.483	480.494	133.741	336.201	467.547	221.827	331.836	497.994	126.402	281.606	479.547	192.243	250.104	163.192	132.634	369.771	135.440	133.388	312.543	148.076	221.071	298.553	119.529	115.105	255.374	124.328	182.605	221.519
6	0.05000	385.000	-149.631	828.522	374.113	-250.816	807.739	211.763	-230.373	805.865	231.831	-125.982	831.912	294.618	-300.268	653.787	301.497	-178.288	601.457	510.859	-241.523	596.471	95.766	-245.767	580.421	557.019	-236.522	529.228	47.344	-251.216	503.344	356.185	-331.255	167.086	261.669	-329.663	174.241	449.791	-132.473	144.919	593.618	-196.296	272.080	0.000	0.000	0.000	31.287	-201.578	236.668	0.000	0.000	0.000	517.230	41.442	276.508	486.346	37.217	341.442	112.441	44.302	251.067	138.549	39.052	318.642	436.593	139.613	376.478	480.000	133.628	336.684	466.990	221.792	332.069	498.480	126.506	281.990	482.540	192.237	251.292	165.839	132.590	369.273	136.185	133.301	312.858	148.151	220.716	298.984	119.135	115.023	255.960	122.131	182.493	222.095
7	0.06000	385.023	-149.628	828.490	374.159	-250.801	807.698	211.781	-230.389	805.870	231.840	-125.994	831.887	294.631	-300.242	653.802	301.501	-178.199	601.462	510.872	-241.512	596.441	95.751	-245.751	580.432	557.019	-236.523	529.216	47.336	-251.171	503.352	356.165	-331.249	167.081	261.699	-329.622	174.217	450.004	-132.381	144.966	593.718	-196.152	272.205	0.000	0.000	0.000	31.165	-201.491	236.791	0.000	0.000	0.000	517.783	41.517	277.407	484.923	36.915	341.225	111.928	44.220	251.832	139.805	38.787	318.551	434.026	139.645	375.009	479.956	132.914	337.771	466.350	221.741	332.395	499.430	126.511	283.134	486.291	192.516	252.382	169.541	132.802	368.168	137.077	133.060	313.353	148.784	220.798	299.194	118.492	114.841	257.000	118.801	181.927	223.560
8	0.07000	384.957	-149.585	828.424	374.196	-250.808	807.690	211.814	-230.408	805.900	231.884	-125.988	831.879	294.613	-300.218	653.810	301.455	-178.175	601.487	510.852	-241.524	596.437	95.776	-245.708	580.448	557.022	-236.540	529.183	47.317	-251.177	503.375	356.174	-331.244	167.086	261.690	-329.621	174.243	450.328	-132.226	145.140	593.906	-195.999	272.453	0.000	0.000	0.000	30.994	-201.356	236.909	0.000	0.000	0.000	518.405	41.615	278.487	483.085	36.509	340.846	111.303	44.089	252.853	141.394	38.386	318.547	430.507	139.481	372.885	478.241	132.799	337.792	465.424	221.643	332.992	500.502	126.387	284.612	491.564	192.766	254.219	174.191	133.145	366.666	138.385	132.854	313.770	149.291	220.729	299.397	117.697	114.496	258.172	114.364	181.387	225.027
9	0.08000	385.008	-149.567	828.407	374.243	-250.774	807.669	211.811	-230.434	805.923	231.861	-125.999	831.870	294.624	-300.196	653.797	301.494	-178.118	601.499	511.002	-241.358	596.541	95.775	-245.679	580.471	557.049	-236.546	529.209	47.306	-251.203	503.419	356.161	-331.235	167.086	261.697	-329.578	174.221	450.743	-132.020	145.254	594.072	-195.708	272.723	0.000	0.000	0.000	30.782	-201.149	237.125	0.000	0.000	0.000	519.087	41.717	279.893	480.931	35.996	340.301	110.634	43.896	254.097	143.533	37.920	318.302	426.149	139.446	369.535	476.554	132.430	338.214	464.062	221.417	333.587	501.882	126.242	286.511	498.548	192.940	257.139	180.007	133.779	364.207	139.964	132.510	314.224	149.809	220.561	299.891	116.530	114.087	259.755	108.784	180.457	227.507
10	0.09000	385.018	-149.496	828.378	374.268	-250.743	807.690	211.858	-230.434	805.928	231.890	-125.963	831.847	294.622	-300.154	653.810	301.528	-178.143	601.498	511.001	-241.397	596.538	95.771	-245.657	580.504	556.993	-236.541	529.185	47.264	-251.189	503.452	356.162	-331.188	167.093	261.690	-329.545	174.222	451.208	-131.865	145.287	594.204	-195.378	273.037	0.000	0.000	0.000	30.524	-200.886	237.381	0.000	0.000	0.000	519.810	41.818	281.385	478.594	35.585	339.628	109.753	43.643	255.812	146.032	37.447	318.011	420.690	139.124	365.504	474.467	132.068	338.498	462.371	221.334	334.196	503.360	126.205	289.057	506.094	193.121	260.977	187.185	134.506	360.540	142.051	132.157	314.692	150.726	220.582	299.833	115.061	113.477	261.938	101.918	179.130	231.152
