NO_OF_FRAMES	1456
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:12:49.313	4128806.97660850
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
1	0.00000	394.921	-159.244	834.437	373.637	-256.911	807.321	215.089	-218.938	798.550	243.282	-117.982	831.074	299.858	-294.023	656.635	316.100	-173.870	599.362	515.608	-255.351	611.152	115.509	-221.398	603.621	582.043	-260.172	579.614	48.049	-226.256	565.049	353.799	-354.214	141.666	259.704	-345.797	144.692	472.340	-151.536	130.317	187.429	-134.473	133.163	763.718	-249.184	426.986	722.944	-247.652	360.031	-128.969	-183.327	401.027	-95.397	-196.756	346.728	952.966	-104.548	322.562	918.632	-42.469	330.857	-320.383	-43.170	278.697	-281.284	19.547	278.549	963.336	49.771	297.579	992.576	4.966	305.862	1056.883	56.782	269.654	1015.964	-44.382	294.606	1078.815	-22.401	263.199	-315.179	112.871	244.802	-357.894	61.075	259.913	-429.111	102.842	224.572	-377.863	3.991	260.200	-447.883	76.656	194.867
2	0.01000	394.916	-159.151	834.436	373.598	-256.784	807.305	215.064	-218.835	798.558	243.288	-117.882	831.098	299.873	-293.887	656.635	316.044	-173.649	599.414	515.584	-255.234	611.148	115.495	-221.266	603.578	582.000	-260.065	579.628	48.068	-226.124	564.986	353.769	-354.128	141.672	259.661	-345.715	144.703	472.339	-151.480	130.345	187.395	-134.391	133.141	763.679	-249.077	426.950	722.904	-247.560	360.037	-128.940	-183.223	400.930	-95.372	-196.674	346.631	952.957	-104.531	322.548	918.658	-42.404	330.869	-320.308	-42.971	278.464	-281.203	19.654	278.455	963.355	49.835	297.517	992.574	5.021	305.825	1056.911	56.842	269.608	1015.954	-44.374	294.564	1078.783	-22.368	263.145	-315.091	112.965	244.650	-357.543	61.690	259.142	-428.978	103.004	224.288	-377.808	4.097	260.083	-447.819	76.620	194.797
3	0.02000	394.912	-159.051	834.406	373.564	-256.681	807.296	215.030	-218.688	798.593	243.325	-117.730	831.084	299.827	-293.767	656.667	316.033	-173.587	599.400	515.533	-255.130	611.156	115.456	-221.155	603.583	581.985	-259.958	579.630	48.013	-226.010	564.990	353.732	-354.031	141.684	259.622	-345.612	144.742	472.294	-151.386	130.303	187.452	-134.277	133.110	763.665	-249.021	426.950	722.858	-247.476	359.998	-128.981	-183.181	400.873	-95.336	-196.574	346.569	952.915	-104.457	322.487	918.657	-42.366	330.826	-320.262	-42.884	278.363	-281.198	19.772	278.343	963.342	49.903	297.447	992.553	5.076	305.759	1056.846	56.818	269.557	1015.921	-44.306	294.479	1078.769	-22.347	263.036	-315.009	113.044	244.506	-357.503	61.761	259.017	-428.868	103.120	224.031	-377.762	4.197	259.959	-447.734	76.773	194.594
4	0.03000	394.898	-158.943	834.420	373.529	-256.612	807.304	215.016	-218.541	798.574	243.312	-117.615	831.123	299.549	-293.795	657.033	316.007	-173.425	599.420	515.521	-255.008	611.150	115.431	-221.029	603.567	581.977	-259.820	579.610	47.983	-225.899	564.929	353.676	-353.947	141.712	259.606	-345.500	144.717	472.138	-151.252	130.177	187.477	-134.158	133.042	763.609	-248.933	426.917	722.812	-247.349	359.962	-128.905	-183.023	400.743	-95.320	-196.483	346.467	952.885	-104.405	322.406	918.621	-42.292	330.742	-320.208	-42.753	278.161	-281.066	19.749	278.150	963.349	49.943	297.405	992.544	5.092	305.679	1056.872	56.876	269.431	1015.904	-44.295	294.425	1078.743	-22.327	262.957	-314.943	113.152	244.311	-357.685	61.399	259.398	-428.740	103.214	223.764	-377.709	4.292	259.795	0.000	0.000	0.000
5	0.04000	394.872	-158.825	834.386	373.516	-256.487	807.314	214.714	-218.331	798.650	243.513	-117.449	831.074	299.305	-293.624	656.887	315.984	-173.360	599.423	515.531	-254.924	611.187	115.271	-220.896	603.562	582.013	-259.769	579.631	47.838	-225.781	564.840	353.533	-353.934	141.526	259.456	-345.482	144.580	472.119	-151.142	130.169	187.420	-134.076	133.084	763.509	-248.861	426.750	722.766	-247.283	359.902	-128.919	-182.957	400.608	-95.526	-196.477	346.182	952.861	-104.373	322.331	918.618	-42.255	330.710	-319.929	-42.661	277.839	-281.051	19.829	278.013	963.352	50.031	297.372	992.572	5.135	305.714	1056.880	56.951	269.413	1015.955	-44.274	294.484	1078.743	-22.288	262.898	-314.810	113.319	244.055	-357.530	61.543	259.295	-428.502	103.436	223.507	-377.567	4.421	259.632	0.000	0.000	0.000
6	0.05000	394.821	-158.693	834.409	373.467	-256.414	807.353	214.921	-218.181	798.575	243.360	-117.303	831.085	299.425	-293.529	656.982	315.991	-173.301	599.468	515.433	-254.783	611.138	115.341	-220.795	603.509	581.928	-259.615	579.597	47.925	-225.651	564.814	353.585	-353.760	141.654	259.496	-345.292	144.709	472.084	-151.038	130.163	187.398	-133.938	133.046	763.536	-248.787	426.836	722.710	-247.160	359.884	-128.862	-182.835	400.570	-95.323	-196.335	346.257	952.830	-104.301	322.274	918.552	-42.145	330.653	-319.986	-42.555	277.763	-280.968	19.853	277.910	963.372	50.066	297.160	992.501	5.198	305.507	1056.839	56.993	269.260	1015.818	-44.203	294.232	1078.672	-22.262	262.732	-314.764	113.372	243.732	-357.550	61.597	258.965	-428.497	103.419	223.035	-377.505	4.527	259.282	0.000	0.000	0.000
7	0.06000	394.845	-158.611	834.429	373.393	-256.279	807.354	214.925	-217.998	798.593	243.304	-117.167	831.084	299.403	-293.409	656.972	315.933	-173.176	599.455	515.417	-254.694	611.115	115.326	-220.644	603.451	581.886	-259.515	579.561	47.904	-225.545	564.774	353.506	-353.654	141.700	259.443	-345.184	144.723	472.071	-150.987	130.160	187.422	-133.824	133.002	763.502	-248.672	426.766	722.675	-247.057	359.845	-128.912	-182.726	400.406	-95.274	-196.245	346.160	952.799	-104.239	322.154	918.504	-42.071	330.552	-319.964	-42.525	277.638	-280.880	19.957	277.592	963.322	50.136	297.043	992.456	5.263	305.358	1056.799	56.999	269.134	1015.793	-44.111	294.003	1078.623	-22.211	262.582	-314.665	113.456	243.444	-357.498	61.627	258.744	-428.454	103.411	222.805	-377.436	4.590	259.007	0.000	0.000	0.000
8	0.07000	394.815	-158.504	834.378	373.365	-256.194	807.365	214.866	-217.853	798.542	243.327	-116.977	831.047	299.395	-293.296	656.966	315.947	-173.069	599.451	515.409	-254.596	611.082	115.274	-220.540	603.446	581.881	-259.426	579.554	47.877	-225.414	564.731	353.464	-353.543	141.681	259.372	-345.040	144.711	472.219	-150.960	130.287	187.365	-133.712	132.982	763.448	-248.594	426.709	722.583	-246.937	359.760	-128.894	-182.650	400.324	-95.235	-196.128	346.038	952.748	-104.194	322.046	918.464	-41.979	330.432	-319.865	-42.428	277.390	-280.848	19.795	277.581	963.274	50.209	296.929	992.402	5.331	305.253	1056.725	57.077	268.970	1015.738	-44.069	293.881	1078.539	-22.176	262.426	-314.600	113.531	243.052	-357.421	61.711	258.430	-428.386	103.411	222.469	-377.336	4.652	258.728	0.000	0.000	0.000
9	0.08000	394.805	-158.375	834.371	373.349	-256.087	807.347	214.844	-217.699	798.546	243.330	-116.838	831.031	299.361	-293.215	656.975	315.953	-172.954	599.380	515.384	-254.521	611.065	115.262	-220.376	603.384	581.867	-259.344	579.534	47.846	-225.295	564.671	353.406	-353.437	141.698	259.311	-344.902	144.747	472.046	-150.849	130.138	187.325	-133.611	133.025	763.407	-248.474	426.638	722.529	-246.839	359.710	-128.840	-182.541	400.176	-95.141	-196.025	345.923	952.654	-104.087	321.919	918.404	-41.894	330.317	-319.789	-42.421	277.265	-280.777	19.905	277.248	963.211	50.309	296.747	992.322	5.411	305.131	1056.664	57.138	268.856	1015.668	-43.965	293.719	1078.478	-22.085	262.299	-314.529	113.597	242.816	-357.284	61.808	258.009	-428.395	103.375	222.020	-377.240	4.728	258.458	0.000	0.000	0.000
10	0.09000	394.814	-158.266	834.365	373.308	-255.974	807.359	214.812	-217.572	798.552	243.327	-116.670	830.987	299.371	-293.099	656.951	315.955	-172.870	599.319	515.387	-254.450	611.041	115.229	-220.304	603.380	581.848	-259.259	579.515	47.830	-225.171	564.629	353.359	-353.336	141.694	259.250	-344.801	144.782	472.122	-150.801	130.194	187.334	-133.508	133.034	763.386	-248.395	426.582	722.476	-246.751	359.644	-128.743	-182.416	400.038	-95.076	-195.942	345.769	952.595	-103.994	321.798	918.329	-41.814	330.191	-319.665	-42.327	276.981	-280.653	19.973	277.025	963.090	50.406	296.621	992.263	5.515	304.912	1056.594	57.200	268.687	1015.597	-43.885	293.588	1078.397	-21.982	262.078	-314.458	113.673	242.567	-357.214	61.865	257.735	-428.302	103.428	221.706	-377.149	4.762	258.214	0.000	0.000	0.000
