NO_OF_FRAMES	2000
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 11:58:31.248	4127948.91220950
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Mixed	Measured	Mixed	Measured	Mixed
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
1	0.00000	386.811	-148.546	842.933	381.088	-245.820	805.338	216.895	-229.981	804.016	232.580	-130.620	847.186	297.938	-282.816	657.050	305.897	-162.509	604.002	525.135	-231.093	586.995	102.199	-221.846	587.976	563.742	-241.128	514.340	45.371	-237.163	517.444	349.598	-333.592	166.771	255.365	-327.709	175.025	451.875	-134.833	136.733	176.335	-126.205	148.568	584.386	-268.201	253.677	522.452	-317.365	247.468	24.880	-249.404	238.641	66.690	-305.021	233.948	559.237	-214.355	2.271	536.391	-147.836	12.708	62.762	-200.432	-21.695	95.917	-136.115	-9.447	0.000	0.000	0.000	0.000	0.000	0.000	519.781	-118.332	-166.644	544.109	-189.667	-86.397	512.821	-193.059	-154.418	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.544	-179.251	-97.113	100.987	-186.100	-168.481
2	0.01000	386.863	-148.464	842.917	381.116	-245.734	805.348	216.955	-229.860	804.009	232.609	-130.525	847.211	297.961	-282.763	657.055	305.927	-162.411	604.023	525.176	-231.042	587.035	102.194	-221.831	587.985	563.749	-241.050	514.354	45.365	-237.146	517.486	349.590	-333.574	166.778	255.371	-327.669	175.061	451.806	-134.781	136.656	176.305	-126.192	148.547	584.389	-268.151	253.678	522.447	-317.315	247.484	24.877	-249.407	238.679	66.703	-305.007	233.958	559.218	-214.313	2.308	536.361	-147.825	12.672	62.730	-200.461	-21.625	95.879	-136.104	-9.445	0.000	0.000	0.000	0.000	0.000	0.000	519.715	-118.186	-166.719	544.128	-189.647	-86.384	512.755	-192.979	-154.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.527	-179.269	-97.116	100.953	-186.132	-168.399
3	0.02000	386.887	-148.363	842.874	381.150	-245.656	805.353	216.969	-229.792	804.044	232.637	-130.434	847.202	297.972	-282.707	657.051	305.952	-162.364	604.064	525.144	-230.971	586.976	102.204	-221.793	587.990	563.757	-240.975	514.328	45.381	-237.112	517.462	349.611	-333.532	166.779	255.398	-327.657	175.080	451.885	-134.786	136.778	176.349	-126.133	148.482	584.366	-268.066	253.641	522.472	-317.268	247.473	24.873	-249.400	238.672	66.720	-304.976	233.951	559.211	-214.259	2.322	537.809	-147.927	13.950	62.775	-200.458	-21.653	95.847	-136.134	-9.435	0.000	0.000	0.000	0.000	0.000	0.000	519.703	-118.206	-166.713	544.084	-189.532	-86.524	512.759	-192.970	-154.464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.504	-179.302	-97.097	100.921	-186.172	-168.336
4	0.03000	385.639	-147.374	842.535	381.160	-245.528	805.340	217.029	-229.689	804.050	232.657	-130.353	847.199	297.882	-282.775	657.204	305.885	-162.331	604.017	525.165	-230.905	586.988	102.216	-221.760	587.988	563.756	-240.898	514.280	45.379	-237.089	517.477	349.604	-333.512	166.790	255.390	-327.607	175.073	451.826	-134.719	136.783	176.293	-126.127	148.495	584.367	-268.010	253.623	522.477	-317.206	247.466	24.875	-249.390	238.685	66.736	-304.958	233.959	559.238	-214.231	2.304	537.852	-147.865	13.993	62.742	-200.468	-21.620	95.818	-136.137	-9.416	0.000	0.000	0.000	0.000	0.000	0.000	519.694	-118.160	-166.733	544.129	-189.593	-86.378	512.698	-192.902	-154.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.487	-179.299	-97.100	100.902	-186.173	-168.373
5	0.04000	385.714	-147.263	842.530	381.176	-245.437	805.342	217.022	-229.627	804.064	232.692	-130.254	847.180	297.881	-282.724	657.223	305.934	-162.304	604.006	525.187	-230.816	586.974	102.226	-221.727	587.990	563.755	-240.845	514.291	45.410	-237.063	517.477	349.619	-333.479	166.797	255.393	-327.588	175.069	451.809	-134.684	136.694	176.224	-126.116	148.573	584.413	-267.992	253.686	522.484	-317.158	247.451	24.868	-249.394	238.701	66.714	-304.989	233.992	559.246	-214.195	2.262	537.816	-147.819	13.969	62.691	-200.502	-21.587	95.796	-136.139	-9.433	0.000	0.000	0.000	0.000	0.000	0.000	519.598	-118.039	-166.834	544.092	-189.506	-86.467	512.711	-192.888	-154.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.479	-179.309	-97.092	100.891	-186.180	-168.379
6	0.05000	385.683	-147.096	842.445	380.866	-244.897	805.168	216.927	-229.637	804.235	232.368	-130.368	847.302	297.868	-282.656	657.190	305.906	-162.212	604.000	525.068	-231.116	586.874	102.147	-221.886	588.218	564.034	-240.928	514.230	45.211	-237.139	517.566	349.575	-333.514	166.753	255.374	-327.583	175.019	451.819	-134.648	136.585	176.238	-126.082	148.428	584.533	-268.006	253.698	522.455	-317.122	247.449	24.676	-249.477	238.754	66.654	-304.985	233.969	559.278	-214.157	2.102	537.850	-147.566	14.057	62.758	-200.417	-21.775	95.934	-136.274	-9.491	0.000	0.000	0.000	0.000	0.000	0.000	519.645	-118.069	-166.779	544.133	-189.519	-86.398	512.872	-193.026	-154.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.449	-179.319	-97.139	100.877	-186.179	-168.364
7	0.06000	385.748	-147.038	842.395	381.139	-245.162	805.340	217.027	-229.440	804.125	232.576	-130.090	847.174	297.846	-282.605	657.182	306.002	-162.232	603.961	525.115	-230.719	586.914	102.215	-221.683	588.006	563.762	-240.707	514.280	45.317	-237.039	517.523	349.576	-333.486	166.751	255.375	-327.583	175.002	451.790	-134.630	136.709	176.277	-126.055	148.504	584.310	-267.813	253.578	522.447	-317.075	247.404	24.760	-249.412	238.709	66.625	-304.971	233.969	559.192	-214.130	2.182	537.904	-147.762	13.990	62.690	-200.502	-21.640	95.725	-136.182	-9.333	0.000	0.000	0.000	0.000	0.000	0.000	519.612	-118.080	-166.773	544.020	-189.388	-86.604	512.608	-192.841	-154.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.422	-179.331	-97.168	100.843	-186.191	-168.362
8	0.07000	385.690	-146.872	842.325	381.158	-245.075	805.353	217.033	-229.357	804.144	232.554	-130.017	847.175	297.873	-282.536	657.176	305.927	-162.111	604.007	525.139	-230.626	586.902	102.219	-221.633	588.029	563.720	-240.633	514.247	45.323	-236.980	517.509	349.578	-333.478	166.754	255.358	-327.544	174.992	451.790	-134.602	136.685	176.270	-126.033	148.506	584.294	-267.752	253.555	522.454	-317.019	247.398	24.757	-249.401	238.705	66.625	-304.936	233.973	559.194	-214.119	2.143	537.890	-147.744	13.957	62.684	-200.504	-21.656	95.740	-136.182	-9.338	0.000	0.000	0.000	0.000	0.000	0.000	519.638	-118.101	-166.731	544.011	-189.354	-86.593	512.611	-192.794	-154.522	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.424	-179.335	-97.154	100.801	-186.198	-168.393
9	0.08000	385.721	-146.769	842.344	381.189	-244.961	805.362	217.049	-229.260	804.136	232.576	-129.890	847.140	297.862	-282.479	657.172	305.993	-162.093	603.951	525.170	-230.577	586.943	102.228	-221.586	588.029	563.739	-240.579	514.263	45.320	-236.940	517.521	349.546	-333.444	166.759	255.362	-327.521	174.986	451.739	-134.565	136.692	176.268	-126.006	148.455	584.357	-267.746	253.610	522.445	-316.964	247.390	24.771	-249.357	238.693	66.632	-304.910	233.977	559.197	-214.093	2.161	537.932	-147.691	13.968	62.726	-200.444	-21.751	95.699	-136.183	-9.309	0.000	0.000	0.000	0.000	0.000	0.000	519.615	-118.044	-166.815	544.048	-189.371	-86.549	512.551	-192.788	-154.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.397	-179.343	-97.151	100.763	-186.231	-168.360
10	0.09000	385.727	-146.662	842.323	381.213	-244.868	805.393	217.036	-229.180	804.161	232.583	-129.794	847.138	297.880	-282.398	657.204	305.934	-162.030	603.951	525.165	-230.499	586.938	102.237	-221.509	587.997	563.741	-240.504	514.262	45.325	-236.868	517.545	349.537	-333.431	166.785	255.351	-327.517	175.010	451.792	-134.529	136.735	176.200	-126.009	148.473	584.332	-267.698	253.590	522.444	-316.913	247.387	24.747	-249.336	238.709	66.626	-304.902	233.988	559.170	-214.033	2.134	537.919	-147.689	13.973	62.696	-200.461	-21.686	95.706	-136.159	-9.344	0.000	0.000	0.000	0.000	0.000	0.000	519.547	-117.942	-166.888	544.122	-189.402	-86.484	512.557	-192.729	-154.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.378	-179.341	-97.157	100.768	-186.199	-168.419
11	0.10000	385.771	-146.583	842.331	381.234	-244.752	805.377	217.064	-229.087	804.167	232.593	-129.653	847.089	297.854	-282.357	657.217	305.965	-161.917	603.989	525.134	-230.427	586.892	102.230	-221.463	588.059	563.729	-240.436	514.260	45.312	-236.813	517.550	349.545	-333.380	166.776	255.338	-327.485	175.024	451.713	-134.456	136.688	176.201	-125.997	148.497	584.364	-267.680	253.625	522.451	-316.891	247.412	24.749	-249.313	238.740	66.608	-304.842	234.028	559.174	-214.005	2.154	537.935	-147.623	13.959	62.654	-200.476	-21.650	95.673	-136.129	-9.370	0.000	0.000	0.000	0.000	0.000	0.000	519.545	-117.961	-166.861	544.121	-189.309	-86.406	512.536	-192.679	-154.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.359	-179.351	-97.092	100.737	-186.245	-168.248
