NO_OF_FRAMES	992
NO_OF_CAMERAS	6
NO_OF_MARKERS	30
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:08:38.998	4128556.66160880
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
1	0.00000	386.019	-139.484	833.452	375.188	-240.013	809.500	212.819	-219.463	806.256	231.985	-115.527	835.681	297.933	-283.814	656.244	304.126	-164.788	601.780	512.220	-234.601	594.357	100.460	-230.926	584.040	562.705	-250.324	534.135	48.189	-250.441	515.044	354.371	-326.870	167.324	260.373	-322.757	174.856	598.339	-248.239	261.889	523.419	-279.933	234.550	21.210	-243.749	238.734	84.772	-279.092	213.714	516.613	-9.320	245.978	510.094	-5.556	317.386	116.498	2.966	225.791	121.044	2.724	299.183	485.423	94.034	366.128	507.442	88.562	304.205	489.528	177.963	296.822	504.906	75.787	249.134	496.775	143.919	225.314	152.837	95.260	355.155	123.143	92.517	289.143	133.334	180.129	279.116	127.022	74.850	230.875	137.351	142.988	200.979
2	0.01000	386.021	-139.534	833.507	375.170	-240.034	809.492	212.811	-219.488	806.261	231.952	-115.561	835.719	297.991	-283.804	656.192	304.164	-164.786	601.748	512.217	-234.556	594.365	100.469	-230.896	583.998	562.698	-250.291	534.186	48.198	-250.441	515.013	354.391	-326.850	167.327	260.388	-322.730	174.821	598.368	-248.236	261.920	523.487	-279.868	234.494	21.236	-243.785	238.767	84.768	-279.084	213.652	516.635	-9.278	245.994	510.074	-5.533	317.416	116.478	2.914	225.795	121.088	2.727	299.155	485.418	94.058	366.159	507.390	88.628	304.152	489.513	177.970	296.843	504.863	75.850	249.105	496.728	143.948	225.268	152.844	95.222	355.146	123.127	92.454	289.163	133.337	180.125	279.129	126.999	74.854	230.808	137.366	142.984	200.959
3	0.02000	386.024	-139.552	833.542	375.145	-240.056	809.492	212.762	-219.528	806.254	231.961	-115.572	835.720	297.959	-283.775	656.199	304.057	-164.797	601.790	512.213	-234.525	594.389	100.475	-230.892	583.995	562.708	-250.265	534.152	48.214	-250.441	515.004	354.398	-326.833	167.339	260.394	-322.706	174.837	598.403	-248.192	261.933	523.504	-279.845	234.527	21.243	-243.781	238.748	84.796	-279.116	213.668	516.652	-9.239	246.028	510.089	-5.483	317.416	116.467	2.917	225.760	121.107	2.709	299.159	485.395	94.065	366.212	507.420	88.603	304.196	489.556	177.981	296.882	504.891	75.848	249.165	496.757	143.963	225.344	152.853	95.213	355.110	123.139	92.492	289.067	133.322	180.121	279.110	126.995	74.825	230.837	137.292	142.926	201.006
4	0.03000	385.980	-139.616	833.550	375.122	-240.065	809.478	212.746	-219.523	806.230	231.924	-115.598	835.733	297.982	-283.754	656.183	304.074	-164.745	601.848	512.214	-234.512	594.395	100.460	-230.913	584.019	562.710	-250.235	534.158	48.210	-250.451	514.984	354.395	-326.800	167.361	260.386	-322.665	174.821	597.607	-247.533	261.423	523.533	-279.792	234.506	21.264	-243.759	238.680	84.815	-279.118	213.666	516.617	-9.228	246.019	510.085	-5.438	317.432	116.528	2.952	225.674	121.109	2.706	299.127	485.455	94.073	366.178	507.435	88.657	304.246	489.531	178.010	296.896	504.878	75.917	249.184	496.771	143.989	225.350	152.843	95.201	355.096	123.171	92.460	289.090	133.357	180.128	279.053	126.988	74.820	230.826	137.298	142.941	200.957
5	0.04000	385.965	-139.621	833.574	375.108	-240.084	809.474	212.715	-219.569	806.227	231.899	-115.626	835.760	298.012	-283.724	656.145	304.082	-164.728	601.798	512.192	-234.474	594.392	100.474	-230.889	583.975	562.710	-250.170	534.160	48.197	-250.454	514.973	354.401	-326.759	167.361	260.406	-322.663	174.826	597.643	-247.501	261.454	523.542	-279.788	234.542	21.240	-243.808	238.747	84.811	-279.139	213.663	516.657	-9.144	246.064	510.123	-5.426	317.487	116.429	2.931	225.820	121.117	2.704	299.097	485.468	94.131	366.212	507.456	88.694	304.284	489.552	178.067	296.907	504.951	75.916	249.260	496.786	144.062	225.384	152.837	95.195	355.096	123.149	92.601	288.804	133.370	180.160	278.959	127.014	74.813	230.779	137.302	142.913	200.945
6	0.05000	385.765	-139.537	833.570	375.100	-240.071	809.514	212.697	-219.586	806.222	231.843	-115.669	835.792	297.934	-283.725	656.179	304.041	-164.710	601.877	512.199	-234.360	594.418	100.498	-230.888	583.944	562.655	-250.155	534.205	48.219	-250.449	514.957	354.431	-326.670	167.300	260.411	-322.683	174.807	597.613	-247.406	261.466	523.585	-279.854	234.362	21.276	-243.785	238.692	84.842	-279.171	213.575	516.682	-9.145	246.027	510.113	-5.359	317.518	116.512	2.924	225.667	121.070	2.687	299.098	485.443	94.152	366.290	507.465	88.769	304.332	489.519	178.135	296.903	504.927	75.998	249.252	496.811	144.119	225.451	152.835	95.220	355.037	123.197	92.522	289.011	133.376	180.131	278.978	127.020	74.834	230.728	137.367	142.942	200.877
7	0.06000	385.733	-139.556	833.583	375.084	-240.066	809.511	212.692	-219.620	806.230	231.813	-115.695	835.804	297.944	-283.723	656.193	304.006	-164.721	601.815	512.194	-234.334	594.445	100.471	-230.875	583.928	562.660	-250.120	534.186	48.226	-250.416	514.926	354.426	-326.627	167.315	260.419	-322.658	174.802	597.623	-247.378	261.468	523.603	-279.855	234.369	21.289	-243.793	238.701	84.861	-279.164	213.580	516.665	-9.087	246.040	510.100	-5.291	317.511	116.479	2.968	225.729	121.016	2.671	299.141	485.413	94.199	366.326	507.439	88.812	304.360	489.587	178.145	296.993	504.957	76.009	249.307	496.841	144.146	225.472	152.808	95.234	355.028	123.174	92.550	288.876	133.400	180.175	278.878	127.066	74.840	230.659	137.366	142.947	200.837
8	0.07000	385.684	-139.525	833.597	375.088	-240.087	809.513	212.669	-219.629	806.188	231.774	-115.723	835.821	297.908	-283.714	656.199	304.049	-164.736	601.885	512.172	-234.308	594.423	100.482	-230.864	583.892	562.639	-250.102	534.206	48.221	-250.442	514.953	354.442	-326.591	167.308	260.440	-322.614	174.811	597.626	-247.337	261.508	523.625	-279.814	234.355	21.290	-243.769	238.623	84.864	-279.176	213.554	516.767	-9.076	246.059	510.107	-5.255	317.552	116.492	2.973	225.602	121.041	2.700	299.099	485.414	94.261	366.324	507.480	88.834	304.396	489.545	178.226	296.955	504.963	76.096	249.252	496.888	144.166	225.502	152.786	95.287	354.986	123.187	92.589	288.804	133.692	180.559	278.501	127.071	74.857	230.651	137.376	142.949	200.820
9	0.08000	385.637	-139.544	833.594	375.091	-240.079	809.494	212.657	-219.678	806.182	231.724	-115.785	835.839	297.916	-283.713	656.184	304.036	-164.679	601.797	512.182	-234.274	594.425	100.480	-230.875	583.888	562.620	-250.068	534.211	48.200	-250.444	514.934	354.457	-326.581	167.310	260.460	-322.597	174.810	597.643	-247.269	261.525	523.643	-279.774	234.348	21.316	-243.790	238.676	84.892	-279.165	213.525	516.740	-8.995	246.096	510.092	-5.218	317.581	116.512	2.945	225.579	121.030	2.689	299.073	485.438	94.293	366.338	507.458	88.899	304.393	489.518	178.244	297.031	504.948	76.143	249.313	496.886	144.223	225.547	152.787	95.305	354.949	123.176	92.597	288.789	133.372	180.206	278.787	127.034	74.830	230.672	137.320	142.932	200.816
10	0.09000	385.644	-139.569	833.665	375.074	-240.080	809.487	212.655	-219.730	806.195	231.685	-115.819	835.846	297.902	-283.681	656.163	304.025	-164.636	601.871	512.160	-234.257	594.431	100.464	-230.832	583.812	562.625	-250.030	534.200	48.226	-250.415	514.874	354.457	-326.526	167.312	260.463	-322.574	174.808	597.653	-247.239	261.510	523.676	-279.726	234.312	21.320	-243.746	238.562	84.892	-279.169	213.521	516.797	-8.968	246.125	510.069	-5.141	317.563	116.553	2.929	225.649	121.021	2.745	299.042	485.425	94.316	366.395	507.407	88.958	304.383	489.252	178.567	296.901	504.976	76.165	249.334	496.900	144.296	225.539	152.797	95.308	354.958	123.181	92.603	288.779	133.646	180.566	278.433	127.023	74.885	230.587	137.311	142.965	200.743
11	0.10000	385.526	-139.514	833.649	375.062	-240.076	809.474	212.631	-219.784	806.159	231.635	-115.858	835.857	297.949	-283.651	656.076	304.050	-164.628	601.821	512.152	-234.224	594.415	100.468	-230.852	583.853	562.600	-250.018	534.225	48.211	-250.428	514.843	354.478	-326.510	167.334	260.488	-322.543	174.813	597.704	-247.212	261.608	523.676	-279.714	234.325	21.320	-243.728	238.513	84.909	-279.155	213.456	516.828	-8.930	246.123	510.064	-5.120	317.595	116.507	2.943	225.569	121.014	2.727	299.049	485.430	94.359	366.406	507.482	88.950	304.466	489.303	178.533	296.969	505.014	76.193	249.361	496.885	144.297	225.587	152.782	95.319	354.931	123.140	92.597	288.782	133.539	180.507	278.503	127.029	74.900	230.575	137.245	142.937	200.788
