NO_OF_FRAMES	910
NO_OF_CAMERAS	6
NO_OF_MARKERS	32
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-10, 12:03:17.501	4128235.16444500
DATA_INCLUDED	3D
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z	
1	0.00000	391.191	-129.380	840.940	391.009	-227.945	806.422	226.305	-221.808	805.722	236.339	-120.298	845.527	309.826	-270.302	660.879	312.045	-150.515	605.874	529.877	-210.226	595.520	108.210	-220.279	594.408	572.128	-226.373	526.524	58.315	-239.123	519.179	363.341	-327.964	167.439	269.690	-326.025	174.385	0.000	0.000	0.000	0.000	0.000	0.000	587.129	-250.448	255.080	525.868	-299.801	250.261	48.746	-243.376	241.114	94.533	-295.583	235.354	560.858	-203.998	5.439	546.269	-133.828	11.229	80.396	-193.972	-15.757	100.243	-122.704	-9.363	0.000	0.000	0.000	535.221	-138.511	-87.687	0.000	0.000	0.000	543.548	-193.733	-81.377	518.871	-197.601	-146.429	0.000	0.000	0.000	99.907	-124.810	-98.601	0.000	0.000	0.000	89.793	-184.729	-89.099	109.471	-207.038	-157.987
2	0.01000	391.176	-129.346	840.919	391.029	-227.913	806.404	226.304	-221.763	805.722	236.346	-120.252	845.496	309.856	-270.273	660.875	312.023	-150.506	605.873	529.885	-210.225	595.501	108.222	-220.246	594.406	572.103	-226.348	526.485	58.291	-239.114	519.194	363.336	-327.945	167.439	269.676	-326.010	174.386	0.000	0.000	0.000	0.000	0.000	0.000	587.122	-250.407	255.085	525.854	-299.791	250.238	48.749	-243.365	241.126	94.526	-295.548	235.350	560.849	-203.998	5.478	546.373	-133.842	11.275	80.383	-193.971	-15.747	100.278	-122.672	-9.409	0.000	0.000	0.000	535.192	-138.466	-87.756	0.000	0.000	0.000	543.580	-193.764	-81.328	518.937	-197.620	-146.376	0.000	0.000	0.000	99.911	-124.760	-98.568	0.000	0.000	0.000	89.806	-184.703	-89.123	109.468	-207.034	-158.002
3	0.02000	391.220	-129.320	840.907	391.016	-227.894	806.432	226.328	-221.731	805.724	236.357	-120.240	845.539	309.855	-270.267	660.876	312.024	-150.438	605.932	529.864	-210.214	595.504	108.211	-220.224	594.415	572.147	-226.360	526.507	58.297	-239.052	519.179	363.338	-327.942	167.433	269.671	-325.984	174.350	0.000	0.000	0.000	0.000	0.000	0.000	587.145	-250.446	255.093	525.878	-299.797	250.244	48.735	-243.338	241.129	94.543	-295.524	235.341	560.855	-203.982	5.453	546.302	-133.862	11.214	80.398	-193.928	-15.757	100.248	-122.657	-9.350	0.000	0.000	0.000	535.246	-138.519	-87.704	0.000	0.000	0.000	543.612	-193.745	-81.369	518.886	-197.609	-146.414	0.000	0.000	0.000	99.925	-124.795	-98.589	0.000	0.000	0.000	89.821	-184.659	-89.136	109.471	-207.015	-157.989
4	0.03000	389.917	-128.327	840.577	391.022	-227.849	806.423	226.315	-221.691	805.718	236.387	-120.193	845.524	309.784	-270.313	660.933	312.080	-150.460	605.807	529.896	-210.219	595.499	108.217	-220.186	594.407	572.099	-226.349	526.504	58.292	-239.024	519.168	363.334	-327.921	167.444	269.683	-325.981	174.397	0.000	0.000	0.000	0.000	0.000	0.000	587.079	-250.361	255.019	525.874	-299.789	250.234	48.751	-243.293	241.141	94.515	-295.497	235.353	560.864	-203.997	5.488	546.300	-133.845	11.232	80.375	-193.921	-15.776	100.298	-122.622	-9.361	0.000	0.000	0.000	535.211	-138.480	-87.773	0.000	0.000	0.000	543.635	-193.784	-81.306	518.936	-197.610	-146.372	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.843	-184.648	-89.155	109.484	-206.989	-158.016
5	0.04000	389.895	-128.254	840.536	391.022	-227.824	806.415	226.328	-221.631	805.720	236.408	-120.161	845.531	309.778	-270.291	660.947	312.111	-150.465	605.886	529.875	-210.204	595.493	108.191	-220.177	594.425	572.117	-226.379	526.513	58.327	-238.963	519.138	363.336	-327.922	167.446	269.687	-325.970	174.375	0.000	0.000	0.000	0.000	0.000	0.000	587.132	-250.438	255.061	525.900	-299.802	250.241	48.769	-243.229	241.101	94.514	-295.470	235.344	560.901	-204.016	5.500	546.355	-133.900	11.200	80.404	-193.873	-15.806	100.306	-122.608	-9.392	0.000	0.000	0.000	535.231	-138.486	-87.714	0.000	0.000	0.000	543.614	-193.750	-81.348	518.910	-197.606	-146.415	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.847	-184.629	-89.141	109.463	-206.994	-157.963
6	0.05000	389.944	-128.271	840.499	390.442	-227.291	806.218	226.227	-221.681	805.962	236.056	-120.257	845.608	309.678	-270.266	660.926	312.100	-150.450	605.855	529.711	-210.537	595.390	108.102	-220.325	594.611	572.377	-226.511	526.408	58.060	-239.030	519.185	363.303	-328.017	167.428	269.554	-326.051	174.318	0.000	0.000	0.000	0.000	0.000	0.000	587.247	-250.449	254.958	525.854	-299.822	250.261	48.486	-243.333	241.194	94.411	-295.481	235.320	560.880	-204.047	5.334	546.396	-133.700	11.215	80.375	-193.841	-15.768	100.372	-122.549	-9.370	0.000	0.000	0.000	535.226	-138.497	-87.698	0.000	0.000	0.000	543.613	-193.768	-81.315	519.096	-197.731	-146.308	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.818	-184.601	-89.136	109.486	-206.949	-158.060
7	0.06000	389.962	-128.255	840.465	390.784	-227.608	806.441	226.272	-221.556	805.826	236.234	-120.066	845.596	309.659	-270.231	660.912	312.058	-150.393	605.878	529.835	-210.229	595.499	108.155	-220.146	594.425	572.154	-226.380	526.540	58.172	-238.959	519.201	363.305	-328.049	167.417	269.529	-326.060	174.321	0.000	0.000	0.000	0.000	0.000	0.000	587.196	-250.442	255.124	525.831	-299.837	250.269	48.626	-243.237	241.143	94.386	-295.451	235.312	560.839	-204.095	5.445	546.476	-133.862	11.300	80.392	-193.818	-15.775	100.336	-122.556	-9.393	0.000	0.000	0.000	535.287	-138.518	-87.690	0.000	0.000	0.000	543.648	-193.844	-81.267	518.911	-197.651	-146.362	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.816	-184.585	-89.126	109.490	-206.929	-158.095
8	0.07000	390.006	-128.249	840.491	390.776	-227.586	806.449	226.227	-221.544	805.816	236.216	-120.035	845.582	309.639	-270.205	660.900	312.042	-150.388	605.893	529.816	-210.198	595.480	108.163	-220.118	594.422	572.114	-226.346	526.534	58.167	-238.938	519.195	363.289	-328.055	167.435	269.515	-326.075	174.314	0.000	0.000	0.000	0.000	0.000	0.000	587.156	-250.438	255.101	525.837	-299.828	250.275	48.635	-243.196	241.095	94.365	-295.430	235.316	560.845	-204.086	5.436	546.461	-133.914	11.281	80.391	-193.797	-15.777	100.318	-122.520	-9.442	0.000	0.000	0.000	535.291	-138.558	-87.664	0.000	0.000	0.000	543.626	-193.822	-81.255	518.956	-197.710	-146.318	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.805	-184.571	-89.134	109.449	-206.947	-157.962
9	0.08000	389.967	-128.188	840.451	390.766	-227.577	806.439	226.219	-221.511	805.826	236.233	-119.971	845.560	309.613	-270.184	660.919	311.983	-150.360	606.001	529.814	-210.178	595.492	108.139	-220.090	594.413	572.114	-226.340	526.532	58.164	-238.893	519.163	363.289	-328.043	167.434	269.489	-326.050	174.320	0.000	0.000	0.000	0.000	0.000	0.000	587.214	-250.479	255.137	525.839	-299.812	250.279	48.624	-243.175	241.104	94.385	-295.393	235.284	560.842	-204.099	5.436	546.450	-133.921	11.272	80.452	-193.735	-15.848	100.334	-122.510	-9.352	0.000	0.000	0.000	535.256	-138.546	-87.689	0.000	0.000	0.000	543.585	-193.797	-81.314	518.910	-197.680	-146.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.825	-184.540	-89.156	109.470	-206.920	-158.063
10	0.09000	390.033	-128.207	840.481	390.787	-227.550	806.462	226.227	-221.448	805.835	236.246	-119.919	845.579	309.575	-270.150	660.924	312.094	-150.310	605.927	529.814	-210.154	595.499	108.154	-220.046	594.402	572.077	-226.292	526.541	58.167	-238.853	519.142	363.295	-328.045	167.430	269.490	-326.040	174.297	0.000	0.000	0.000	0.000	0.000	0.000	587.116	-250.373	255.065	525.841	-299.804	250.279	48.633	-243.121	241.068	94.359	-295.352	235.269	560.849	-204.082	5.391	546.480	-133.915	11.302	80.420	-193.748	-15.806	100.352	-122.495	-9.392	0.000	0.000	0.000	535.243	-138.494	-87.725	0.000	0.000	0.000	543.641	-193.838	-81.258	518.934	-197.690	-146.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	89.812	-184.522	-89.134	109.479	-206.892	-158.062
