NO_OF_FRAMES	1000																																																																																																
NO_OF_CAMERAS	6																																																																																																
NO_OF_MARKERS	32																																																																																																
FREQUENCY	100																																																																																																
NO_OF_ANALOG	0																																																																																																
ANALOG_FREQUENCY	0																																																																																																
DESCRIPTION	--																																																																																																
TIME_STAMP	2025-09-10, 11:45:47.869	4127185.533																																																																																															
DATA_INCLUDED	3D																																																																																																
MARKER_NAMES	RFH	RBH	LBH	LFH	C7	IJ_chest	RAC_sho	LAC_sho	RHGT_sho	LHGT_sho	RPSI_back	LPSI_back	RASI	LASI	RLE_elb	RME_elb	LLE_elb	LME_elb	RUS_wrist	RRS_wrist	LUS_wrist	LRS_wrist	RTF_hand	RHM2_hand	RIF_hand	RHL5_hand	RLF_hand	LTF_hand	LHM2_hand	LIF_hand	LHL5_hand	LLF_hand																																																																	
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured																																																																	
Frame	Time	RFH X	RFH Y	RFH Z	RBH X	RBH Y	RBH Z	LBH X	LBH Y	LBH Z	LFH X	LFH Y	LFH Z	C7 X	C7 Y	C7 Z	IJ_chest X	IJ_chest Y	IJ_chest Z	RAC_sho X	RAC_sho Y	RAC_sho Z	LAC_sho X	LAC_sho Y	LAC_sho Z	RHGT_sho X	RHGT_sho Y	RHGT_sho Z	LHGT_sho X	LHGT_sho Y	LHGT_sho Z	RPSI_back X	RPSI_back Y	RPSI_back Z	LPSI_back X	LPSI_back Y	LPSI_back Z	RASI X	RASI Y	RASI Z	LASI X	LASI Y	LASI Z	RLE_elb X	RLE_elb Y	RLE_elb Z	RME_elb X	RME_elb Y	RME_elb Z	LLE_elb X	LLE_elb Y	LLE_elb Z	LME_elb X	LME_elb Y	LME_elb Z	RUS_wrist X	RUS_wrist Y	RUS_wrist Z	RRS_wrist X	RRS_wrist Y	RRS_wrist Z	LUS_wrist X	LUS_wrist Y	LUS_wrist Z	LRS_wrist X	LRS_wrist Y	LRS_wrist Z	RTF_hand X	RTF_hand Y	RTF_hand Z	RHM2_hand X	RHM2_hand Y	RHM2_hand Z	RIF_hand X	RIF_hand Y	RIF_hand Z	RHL5_hand X	RHL5_hand Y	RHL5_hand Z	RLF_hand X	RLF_hand Y	RLF_hand Z	LTF_hand X	LTF_hand Y	LTF_hand Z	LHM2_hand X	LHM2_hand Y	LHM2_hand Z	LIF_hand X	LIF_hand Y	LIF_hand Z	LHL5_hand X	LHL5_hand Y	LHL5_hand Z	LLF_hand X	LLF_hand Y	LLF_hand Z
1	0	680.914	-327.014	810.004	673.219	-427.425	786.748	509.797	-412.977	784.793	526.018	-308.208	812.792	596.778	-477.97	656.717	594.659	-367.985	574.279	791.639	-397.01	579.835	409.989	-400.136	576.529	840.144	-372.622	526.026	357.054	-377.618	509.157	657.672	-590.104	168.884	563.589	-593.4	177.104	741.673	-384.21	122.278	459.637	-402.785	146.588	869.222	-259.035	266.102	838.668	-320.942	233.88	351.969	-269.024	255.705	376.537	-321.595	227.04	880.501	-125.952	47.48	810.518	-113.726	45.572	344.178	-113.398	37.326	415.083	-99.515	46.626	0	0	0	826.029	-34.388	30.324	826.377	53.535	13.967	883.376	-51.565	29.286	917.675	12.637	12.918	0	0	0	408.033	-21.661	30.272	420.866	62.143	14.102	344.991	-41.418	25.169	317.96	26.721	13.92
2	0.01	680.891	-326.964	810.005	673.172	-427.335	786.739	509.809	-412.917	784.786	525.974	-308.196	812.777	596.754	-477.922	656.73	594.591	-367.952	574.287	791.615	-396.98	579.837	410	-400.119	576.492	840.107	-372.592	525.979	357.054	-377.628	509.136	659.147	-590.644	170.886	563.589	-593.402	177.104	741.731	-384.208	122.302	459.595	-402.814	146.626	869.244	-259.025	266.153	838.718	-320.95	233.883	351.926	-269.063	255.722	376.531	-321.575	227.017	880.482	-125.934	47.453	810.436	-113.768	45.606	344.214	-113.389	37.319	415.039	-99.549	46.537	0	0	0	826.033	-34.382	30.325	826.353	53.544	13.958	883.393	-51.55	29.281	917.704	12.623	12.959	0	0	0	408.016	-21.656	30.28	420.961	62.171	13.972	344.999	-41.403	25.145	318.846	27.475	12.73
3	0.02	680.853	-326.917	809.994	673.195	-427.327	786.783	509.787	-412.892	784.798	525.98	-308.17	812.755	596.767	-477.905	656.723	594.577	-367.937	574.314	791.589	-396.952	579.831	409.994	-400.106	576.513	840.13	-372.576	526.047	357.041	-377.621	509.121	659.156	-590.637	170.841	563.602	-593.409	177.107	741.701	-384.211	122.283	459.62	-402.815	146.605	869.304	-258.984	266.194	838.738	-320.918	233.876	351.882	-269.052	255.692	376.485	-321.585	227.029	880.471	-125.924	47.418	810.428	-113.735	45.623	344.202	-113.385	37.306	415.068	-99.542	46.61	0	0	0	826.025	-34.419	30.33	826.375	53.548	13.94	883.333	-51.578	29.357	917.723	12.629	12.903	0	0	0	408.044	-21.659	30.25	421.007	62.188	13.926	344.981	-41.402	25.075	317.976	26.72	13.877
4	0.03	680.858	-326.859	809.972	673.203	-427.252	786.791	509.793	-412.87	784.783	525.961	-308.129	812.742	596.763	-477.886	656.737	598.127	-369.434	572.444	791.428	-396.946	579.625	409.982	-400.117	576.493	840.113	-372.532	526.026	357.058	-377.615	509.111	659.166	-590.65	170.865	563.605	-593.41	177.121	741.734	-384.208	122.348	459.597	-402.818	146.603	869.286	-258.985	266.199	838.773	-320.909	233.889	351.936	-269.003	255.607	376.463	-321.597	227.016	880.493	-125.958	47.429	810.493	-113.721	45.644	344.183	-113.389	37.25	415.005	-99.536	46.543	769.606	-23.081	14.237	826.043	-34.402	30.327	826.384	53.552	13.949	883.34	-51.554	29.308	917.694	12.619	12.932	466.593	-16.775	14.121	407.988	-21.674	30.272	420.864	62.109	14.086	344.962	-41.431	25.138	318.868	27.512	12.687
5	0.04	680.82	-326.774	809.933	673.177	-427.209	786.809	509.798	-412.842	784.783	525.976	-308.082	812.688	596.751	-477.879	656.742	598.152	-369.396	572.442	791.375	-396.892	579.635	409.984	-400.11	576.512	840.128	-372.528	526.09	357.013	-377.648	509.158	659.174	-590.634	170.855	563.609	-593.401	177.116	741.631	-384.183	122.297	459.617	-402.794	146.579	869.281	-258.92	266.168	838.823	-320.917	233.892	351.962	-268.974	255.554	376.418	-321.605	227.066	880.52	-126.012	47.429	810.432	-113.734	45.618	344.162	-113.406	37.258	415.051	-99.563	46.641	769.591	-23.085	14.283	826.03	-34.394	30.308	826.407	53.54	13.925	883.356	-51.565	29.34	917.71	12.624	12.908	466.766	-16.675	13.88	407.967	-21.667	30.293	420.853	62.089	14.064	344.976	-41.424	25.148	317.935	26.674	13.97
6	0.05	680.61	-326.592	809.966	673.178	-427.167	786.879	509.769	-412.773	784.758	525.912	-307.968	812.696	596.668	-477.879	656.716	597.626	-369.002	572.514	791.263	-396.719	579.596	409.942	-400.07	576.562	840.038	-372.375	526.064	356.945	-377.61	509.187	659.187	-590.716	170.779	563.61	-593.421	177.027	741.725	-384.141	122.288	459.633	-402.78	146.639	869.211	-258.852	266.134	838.867	-320.949	233.906	351.881	-268.992	255.56	376.373	-321.617	227.07	880.387	-125.886	47.343	810.317	-113.709	45.68	344.187	-113.381	37.184	415.067	-99.485	46.686	769.599	-23.042	14.231	826.056	-34.417	30.323	826.404	53.527	13.923	883.346	-51.577	29.288	917.642	12.586	12.876	466.868	-16.663	13.876	408.029	-21.727	30.26	420.921	62.06	14.101	345.045	-41.409	25.044	318.923	27.456	12.713
7	0.06	680.604	-326.536	809.957	673.142	-427.096	786.879	509.763	-412.763	784.767	525.833	-307.933	812.655	596.641	-477.856	656.713	597.55	-368.931	572.53	791.232	-396.663	579.58	409.947	-400.052	576.583	839.984	-372.317	526.084	356.94	-377.577	509.195	659.21	-590.72	170.784	563.628	-593.42	176.999	741.786	-384.156	122.357	459.623	-402.779	146.605	869.181	-258.787	266.129	838.944	-320.928	233.931	351.887	-268.971	255.514	376.364	-321.599	227.044	880.37	-125.867	47.32	810.383	-113.687	45.698	344.132	-113.418	37.261	414.994	-99.453	46.591	769.577	-23.091	14.327	826.045	-34.443	30.346	826.394	53.527	13.949	883.313	-51.594	29.318	917.67	12.578	12.939	466.854	-16.635	13.816	408.059	-21.702	30.266	420.966	62.053	14.078	345.082	-41.411	25.039	317.943	26.709	13.966
8	0.07	680.563	-326.47	809.931	673.145	-427.056	786.909	509.77	-412.727	784.758	525.791	-307.903	812.651	596.648	-477.854	656.685	597.499	-368.879	572.532	791.266	-396.661	579.607	409.956	-400.055	576.585	839.955	-372.29	526.03	356.962	-377.561	509.218	659.187	-590.712	170.746	563.632	-593.398	176.991	741.723	-384.085	122.298	459.58	-402.785	146.675	869.176	-258.761	266.155	838.971	-320.892	233.922	351.853	-268.977	255.526	376.317	-321.609	227.091	880.363	-125.862	47.298	810.334	-113.698	45.675	344.113	-113.424	37.271	415.088	-99.443	46.658	769.544	-23.094	14.307	826.054	-34.455	30.335	826.361	53.539	13.9	883.328	-51.619	29.327	917.641	12.588	12.918	466.963	-16.64	13.734	408.038	-21.742	30.298	421.128	62.144	13.925	345.067	-41.402	25.002	318.973	27.456	12.695
